m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
190.0400	1	3.45e-4						
190.0800	1	1.17e-4						
190.1200	1	2.00e-5						
190.1600	1	0						
190.2000	1	0						
190.2400	1	1.81e-4						
190.2800	1	3.36e-4						
190.3200	1	1.68e-4						
190.3600	1	4.80e-5						
190.4000	1	6.00e-6						
190.4400	1	0						
190.4800	1	0						
190.5200	1	0						
190.5600	1	0						
190.6000	1	0						
190.6400	1	0						
190.6800	1	0						
190.7200	1	0						
190.7600	1	0						
190.8000	1	0						
190.8400	1	0						
190.8800	1	0						
190.9200	1	0						
190.9600	1	0						
191.0000	1	0						
191.0400	1	0						
191.0800	1	0						
191.1200	1	0						
191.1600	1	0						
191.2000	1	0						
191.2400	1	0						
191.2800	1	0						
191.3200	1	0						
191.3600	1	0						
191.4000	1	0						
191.4400	1	0						
191.4800	1	0						
191.5200	1	0						
191.5600	1	0						
191.6000	1	0						
191.6400	1	0						
191.6800	1	0						
191.7200	1	0						
191.7600	1	0						
191.8000	1	0						
191.8400	1	9.00e-6						
191.8800	1	1.48e-4						
191.9200	1	3.18e-4						
191.9600	1	1.94e-4						
192.0000	1	6.60e-5						
192.0400	1	1.10e-5						
192.0800	1	0						
192.1200	1	0						
192.1600	1	0						
192.2000	1	0						
192.2400	1	0						
192.2800	1	0						
192.3200	1	0						
192.3600	1	0						
192.4000	1	0						
192.4400	1	0						
192.4800	1	0						
192.5200	1	6.00e-6						
192.5600	1	1.10e-4						
192.6000	1	2.28e-4						
192.6400	1	1.31e-4						
192.6800	1	4.20e-5						
192.7200	1	6.00e-6						
192.7600	1	0						
192.8000	1	0						
192.8400	1	0						
192.8800	1	0						
192.9200	1	5.60e-5						
192.9600	1	3.01e-4						
193.0000	1	2.72e-4						
193.0400	1	1.14e-4						
193.0800	1	3.00e-5						
193.1200	1	2.00e-6						
193.1600	1	0						
193.2000	1	0						
193.2400	1	0						
193.2800	1	0						
193.3200	1	0						
193.3600	1	0						
193.4000	1	0						
193.4400	1	0						
193.4800	1	0						
193.5200	1	0						
193.5600	1	0						
193.6000	1	0						
193.6400	1	0						
193.6800	1	0						
193.7200	1	0						
